sub,test,pair,c,d,ht,ms,cr,fa,oTrls,nTrls,mdRtO,mdRtN,mnRtO,mnRtN
43,aud,none,-0.013,0.836,24,12,71,37,36,108,2.046,2.348,2.049,2.277
43,aud,familiar,0.097,0.616,21,15,71,37,36,108,2.039,2.348,2.249,2.277
43,aud,unfamiliar,-0.052,0.914,25,11,71,37,36,108,1.918,2.348,2.064,2.277
43,img,none,0.269,1.718,26,10,94,14,36,108,0.977,1.057,1.083,1.159
43,img,familiar,0.133,1.99,29,7,94,14,36,108,1.042,1.057,1.168,1.159
43,img,unfamiliar,0.08,2.096,30,6,94,14,36,108,0.871,1.057,1.063,1.159
44,aud,none,-0.634,0.456,29,7,37,71,36,108,2.5,2.601,2.868,2.791
44,aud,familiar,-0.745,0.68,31,5,37,71,36,108,2.458,2.601,2.693,2.791
44,aud,unfamiliar,-0.813,0.815,32,4,37,71,36,108,2.297,2.601,2.822,2.791
44,img,none,-0.61,1.546,33,3,61,47,36,108,1.123,1.566,1.325,1.838
44,img,familiar,-0.256,0.838,27,9,61,47,36,108,1.592,1.566,1.684,1.838
44,img,unfamiliar,-0.529,1.384,32,4,61,47,36,108,1.246,1.566,1.414,1.838
45,aud,none,0.059,0.398,20,16,65,43,36,108,1.319,1.586,1.424,1.712
45,aud,familiar,0.094,0.328,19,17,65,43,36,108,1.444,1.586,1.643,1.712
45,aud,unfamiliar,0.024,0.469,21,15,65,43,36,108,1.467,1.586,1.697,1.712
45,img,none,0.208,1.595,26,10,91,17,36,108,1.133,1.035,1.343,1.219
45,img,familiar,0.208,1.595,26,10,91,17,36,108,1.164,1.035,1.305,1.219
45,img,unfamiliar,0.248,1.514,25,11,91,17,36,108,1.106,1.035,1.505,1.219
46,aud,none,0.152,1.165,24,12,83,25,36,108,2.338,2.487,2.362,2.48
46,aud,familiar,0.152,1.165,24,12,83,25,36,108,2.421,2.487,2.385,2.48
46,aud,unfamiliar,0.297,0.874,20,16,83,25,36,108,2.336,2.487,2.338,2.48
46,img,none,-0.169,2.427,33,3,92,16,36,108,1.009,1.227,1.143,1.267
46,img,familiar,0.268,1.553,25,11,92,16,36,108,1.17,1.227,1.29,1.267
46,img,unfamiliar,0.14,1.809,28,8,92,16,36,108,1.103,1.227,1.175,1.267
