sub,test,pair,old4,old3,old2,old1,new4,new3,new2,new1
52,img,unfamiliar,24,4,5,3,.,.,.,.
53,aud,none,18,12,4,2,28,37,25,18
53,aud,familiar,15,14,6,1,.,.,.,.
53,aud,unfamiliar,20,9,3,4,.,.,.,.
53,img,none,31,1,1,3,34,5,13,56
53,img,familiar,29,0,1,6,.,.,.,.
53,img,unfamiliar,26,3,0,7,.,.,.,.
54,aud,none,20,1,15,0,43,3,61,1
54,aud,familiar,14,3,18,1,.,.,.,.
54,aud,unfamiliar,20,1,14,1,.,.,.,.
54,img,none,22,2,12,0,32,1,69,6
54,img,familiar,28,0,8,0,.,.,.,.
54,img,unfamiliar,25,1,10,0,.,.,.,.
55,aud,none,13,13,6,4,7,31,56,14
55,aud,familiar,11,17,7,1,.,.,.,.
55,aud,unfamiliar,6,19,10,1,.,.,.,.
55,img,none,25,1,8,2,15,20,61,12
55,img,familiar,16,8,12,0,.,.,.,.
55,img,unfamiliar,14,8,12,2,.,.,.,.
56,aud,none,9,11,5,11,3,14,46,45
56,aud,familiar,7,15,4,10,.,.,.,.
56,aud,unfamiliar,12,9,6,9,.,.,.,.
56,img,none,21,6,3,6,2,8,26,72
56,img,familiar,19,1,5,11,.,.,.,.
56,img,unfamiliar,21,5,4,6,.,.,.,.
57,aud,none,27,0,0,9,56,0,1,51
57,aud,familiar,24,0,0,12,.,.,.,.
57,aud,unfamiliar,14,1,0,21,.,.,.,.
57,img,none,32,0,0,4,14,1,0,93
57,img,familiar,26,2,0,8,.,.,.,.
57,img,unfamiliar,29,1,0,6,.,.,.,.
58,aud,none,18,11,6,1,9,35,46,18
58,aud,familiar,8,14,9,5,.,.,.,.
58,aud,unfamiliar,11,12,12,1,.,.,.,.
58,img,none,34,1,1,0,4,12,32,60
58,img,familiar,29,2,4,1,.,.,.,.
58,img,unfamiliar,30,2,3,1,.,.,.,.
59,aud,none,12,8,4,12,30,14,19,45
59,aud,familiar,12,5,5,14,.,.,.,.
59,aud,unfamiliar,24,3,1,8,.,.,.,.
59,img,none,35,0,0,1,27,5,8,68
59,img,familiar,34,0,1,1,.,.,.,.
59,img,unfamiliar,33,3,0,0,.,.,.,.
60,aud,none,1,21,12,2,2,41,54,11
60,aud,familiar,1,25,7,3,.,.,.,.
60,aud,unfamiliar,4,18,14,0,.,.,.,.
60,img,none,25,4,6,1,1,16,73,18
60,img,familiar,20,13,3,0,.,.,.,.
60,img,unfamiliar,21,6,8,1,.,.,.,.
61,aud,none,12,13,9,2,3,31,30,44
61,aud,familiar,7,18,8,3,.,.,.,.
61,aud,unfamiliar,8,15,9,4,.,.,.,.
61,img,none,24,5,6,1,4,10,48,46
61,img,familiar,21,5,7,3,.,.,.,.
61,img,unfamiliar,13,8,8,7,.,.,.,.
62,aud,none,7,7,16,6,9,33,29,37
62,aud,familiar,4,17,7,8,.,.,.,.
62,aud,unfamiliar,7,7,14,8,.,.,.,.
62,img,none,25,3,3,5,15,10,16,67
62,img,familiar,24,3,5,4,.,.,.,.
62,img,unfamiliar,21,5,5,5,.,.,.,.
63,aud,none,11,12,7,6,8,32,28,40
63,aud,familiar,12,14,5,5,.,.,.,.
63,aud,unfamiliar,14,12,7,3,.,.,.,.
63,img,none,32,1,2,1,2,3,30,73
63,img,familiar,31,1,3,1,.,.,.,.
63,img,unfamiliar,32,1,0,3,.,.,.,.
64,aud,none,8,14,8,6,5,36,41,26
64,aud,familiar,8,12,14,2,.,.,.,.
64,aud,unfamiliar,6,14,11,5,.,.,.,.
64,img,none,31,4,0,1,6,9,20,73
64,img,familiar,25,5,3,3,.,.,.,.
64,img,unfamiliar,28,2,1,5,.,.,.,.
65,aud,none,8,14,8,6,4,33,45,26
65,aud,familiar,6,18,8,4,.,.,.,.
65,aud,unfamiliar,5,17,12,2,.,.,.,.
65,img,none,11,16,7,2,6,24,67,11
65,img,familiar,7,10,17,2,.,.,.,.
65,img,unfamiliar,18,5,11,2,.,.,.,.
66,aud,none,2,18,16,0,0,36,70,2
66,aud,familiar,3,18,15,0,.,.,.,.
66,aud,unfamiliar,5,17,14,0,.,.,.,.
66,img,none,14,14,8,0,1,19,76,12
66,img,familiar,11,11,14,0,.,.,.,.
66,img,unfamiliar,8,15,13,0,.,.,.,.
67,aud,none,15,1,16,4,39,3,51,15
67,aud,familiar,18,2,14,2,.,.,.,.
67,aud,unfamiliar,22,1,10,3,.,.,.,.
67,img,none,22,1,11,2,14,1,72,21
67,img,familiar,23,1,8,4,.,.,.,.
67,img,unfamiliar,24,1,10,1,.,.,.,.
68,aud,none,19,2,0,15,30,3,1,74
68,aud,familiar,17,0,0,19,.,.,.,.
68,aud,unfamiliar,18,1,1,16,.,.,.,.
68,img,none,25,0,0,11,10,0,2,96
68,img,familiar,20,0,0,16,.,.,.,.
68,img,unfamiliar,19,3,0,14,.,.,.,.
69,aud,none,5,6,20,5,9,17,63,19
69,aud,familiar,4,11,15,6,.,.,.,.
69,aud,unfamiliar,2,11,20,3,.,.,.,.
69,img,none,10,7,15,4,13,12,64,19
69,img,familiar,16,7,11,2,.,.,.,.
69,img,unfamiliar,12,8,13,3,.,.,.,.
70,aud,none,3,16,9,8,2,22,41,43
70,aud,familiar,3,12,12,9,.,.,.,.
70,aud,unfamiliar,3,14,13,6,.,.,.,.
70,img,none,26,7,1,2,5,10,39,54
70,img,familiar,15,10,7,4,.,.,.,.
70,img,unfamiliar,18,8,5,5,.,.,.,.
71,aud,none,3,15,17,1,0,29,78,1
71,aud,familiar,7,13,16,0,.,.,.,.
71,aud,unfamiliar,2,13,21,0,.,.,.,.
71,img,none,13,10,13,0,0,3,101,4
71,img,familiar,11,11,14,0,.,.,.,.
71,img,unfamiliar,11,8,17,0,.,.,.,.
72,aud,none,10,14,11,1,8,42,49,9
72,aud,familiar,16,13,7,0,.,.,.,.
72,aud,unfamiliar,8,14,14,0,.,.,.,.
72,img,none,28,7,1,0,1,18,68,21
72,img,familiar,22,12,2,0,.,.,.,.
72,img,unfamiliar,22,9,5,0,.,.,.,.
